,child_context,parent_context,label
181,"приглашению ― звезда, не звезда, молодой, прославленный, ― я всеми занимаюсь лично. ","Нельсона все пришедшие смогли увидеть знаменитый шедевр советского кинематографа, но не",1
183,"в этой ситуации показала самарская телерадиокомпания «РИО», руководство которой сумело заключить", Небольшая компания DotHill в мае 2002 года,1
184," Именно эта неизвестная иностранная компания, созданная незадолго до того", Небольшая компания DotHill в мае 2002 года,1
186,"Post), почтовый банк (Postbank) и телекоммуникационная компания были преобразованы в акционерные", Небольшая компания DotHill в мае 2002 года,1
187,"Эксперты считают, что именно Объединенная авиастроительная компания, а не правительство, должна", Небольшая компания DotHill в мае 2002 года,1
188,"Воронежский"", ОАО ""Ярпиво"", ОАО ""Чебоксарская пивоваренная компания"" Букет Чувашии "". ", Небольшая компания DotHill в мае 2002 года,1
192, Однако исторически автомобильная компания SAAB возникла из авиастроительной, Небольшая компания DotHill в мае 2002 года,1
196,"К нему и направился Андрей, авторучка руководителя уже нависла над вымученным",святая воля.   Мне требуется хорошая ручка для письма.  Скоро именинница К[атя],1
202,"Оттава, Нью-Йорк.   Что по мне — Москва интереснее.   Чужие города для меня",всех полномочий властей субъектов РФ― город федерального значения (то есть Москвы,1
203,"трехмерной упорядоченной джозефсоновской среде 195251 Санкт-Петербург, Россия Рассмотрены две возможные равновесные",всех полномочий властей субъектов РФ― город федерального значения (то есть Москвы,1
204,"Щелыково, Ясная Поляна, белый город Севастополь с каменоломнями в пригороде, красивыми",всех полномочий властей субъектов РФ― город федерального значения (то есть Москвы,1
209,Усилилась и приобрела современный вид внешняя торговля. ,вопросы войны и мира;   л) внешнеэкономические отношения Российской Федерации;   м) оборона,1
210,"Запада» против России ― впрочем, полагаю, экономические санкции в Токио станут применять",вопросы войны и мира;   л) внешнеэкономические отношения Российской Федерации;   м) оборона,1
219,"Мамадышский, Лаишевский, Тетюшский) каждый четвёртый присяжный заседатель был мусульманином, а в","Лаишевский, Тетюшский) каждый четвёртый присяжный заседатель был мусульманином, а в целом",1
220, Этот сильнейший и самый дорогой по цене вид динамита должен,"бедных стран, предотвращая тем самым чрезмерный наплыв мигрантов. ",1
223," Основные недостатки системы ― завышенный объём, неупорядоченность, нецелевое использование, неэффективность","бедных стран, предотвращая тем самым чрезмерный наплыв мигрантов. ",1
224,"промыслами и предприятиями, газоснабжающими организациями, сверхплановый прием, а также недовыборка газа","бедных стран, предотвращая тем самым чрезмерный наплыв мигрантов. ",1
238," И знаешь какой?  Овод.  Видишь, какой псевдоним мы тебе",хочется петь дифирамбы.   «- Меня вчера муха укусила.   ― Да. ,1
239," В Африке ― муха цеце, в Южной Америке ― походные муравьи",хочется петь дифирамбы.   «- Меня вчера муха укусила.   ― Да. ,1
252,  ― За эстакадой.   ― А где эстакада?   ― Между пищеблоком и узкоколейкой. ,которые предлагали подземный и подводный путепровод. ,1
253,"Так, очагом аварийности сегодня стал виадук.  Поэтому первой ступенью снижения аварийности",которые предлагали подземный и подводный путепровод. ,1
254,"обо всем рассказывала Тома, представлялся цветастый деревенский хоровод и рослые девушки","не в серый, а в яркий по цвету пиджак, иначе ее",1
257,"и драмсекция, и бокс, и вольная борьба, поднятие тяжестей, обязательно кружок","М. Игуменов, Б. А. Подливаев «Спортивная борьба». ",1
258, Индивидуальные виды Греко-римская борьба Исламбек Альбиев (весовая категория,"М. Игуменов, Б. А. Подливаев «Спортивная борьба». ",1
260,"винтовки с фанатичной верой в восточные единоборства), во французском Индокитае, англо","М. Игуменов, Б. А. Подливаев «Спортивная борьба». ",1
261,"потом транзистор, потом логический элемент, микропроцессор и так далее. ","типа Spartan 2 (Device Family), микросхема xc 2 s 15 (Device",1
262, Само ядро процессора будет работать на частотах,"типа Spartan 2 (Device Family), микросхема xc 2 s 15 (Device",1
265,"миниатюрные пиалы налили саке, рисовый алкогольный напиток, который ошибочно называют рисовой",лечебно-профилактических средств и другая спиртосодержащая продукция медицинского и ветеринарного назначения,1
266,"участках под облицовку шприцем вводят этиловый спирт, который вызывает кристаллизацию клея",лечебно-профилактических средств и другая спиртосодержащая продукция медицинского и ветеринарного назначения,1
267,"из кармана купленный по дороге одеколон ""Красный мак"", отвинтил пробку и",лечебно-профилактических средств и другая спиртосодержащая продукция медицинского и ветеринарного назначения,1
268,в огромных количествах закупает сырьевые виноматериалы в своей бывшей африканской колонии,лечебно-профилактических средств и другая спиртосодержащая продукция медицинского и ветеринарного назначения,1
269," По подсчётам специалистов, препаратом воспользуются не менее 4 миллионов французов, растерявших с возрастом свои пышные шевелюры.   НЕЗАМЕНИМЫЙ НУТРИВАЛ Идеально сбалансированный комплекс витаминов и минералов ", Россия накопила уникальный исторический опыт сосуществования и плодотворного,1
273,"один раз очень много, можно повредить растущую почку. ","обязательств (договорная), так и за причинение вреда (деликтная). ",1
276,"Думаю, наоборот, как бы не перекормить.  Глория, я так за кисюню","обязательств (договорная), так и за причинение вреда (деликтная). ",1
281,"как я вижу, собираешься совершить подлый поступок, но я охотнее приму","обязательств (договорная), так и за причинение вреда (деликтная). ",1
283,"он вовсе и не предатель.  Сглаз, порча и депрессия.  Расписка. ","обязательств (договорная), так и за причинение вреда (деликтная). ",1
286," [shaluev, nick]   Так что некая медвежья услуга простите за каламбур ) А","обязательств (договорная), так и за причинение вреда (деликтная). ",1
291," Опасность (и немалая) передозировать препараты, снижающие артериальное давление действительно","обязательств (договорная), так и за причинение вреда (деликтная). ",1
292, Невиновное причинение вреда имуществу не охватывается,"обязательств (договорная), так и за причинение вреда (деликтная). ",1
307,"природных ресурсов, чтобы они сделали забор воды и провели проверку», ― говорит", Водопользование―не нарушать механизмов воспроизводства водных,1
313,"опасался, что если он покинет место предварительного заключения, то Петя воспользуется","сейчас представилась ему очень отчётливо: тюремная камера, вода, крысы на кровати",1
314,"воинское подразделение.   ― Тебя посадят в карцер, ― сказала Лиза.   ― А в карцере","сейчас представилась ему очень отчётливо: тюремная камера, вода, крысы на кровати",1
315,лучшая обстановка для процветания Бессознательного ― одиночная камера. ,"сейчас представилась ему очень отчётливо: тюремная камера, вода, крысы на кровати",1
316,Дважды бежала из немецкого концлагеря.  Камера смертников.  Потом ― санинструктор в танковом,"сейчас представилась ему очень отчётливо: тюремная камера, вода, крысы на кровати",1
327, Это скрежещет по асфальту ручная тележка почтальона (по-здешнему ― cartero,таких отношений вагон и маленькая тележка. ,1
328,было не коммерческое кино.  Но премия «Оскар» ― не показатель «кассовости».  Мы,Раппопорт уже есть национальная итальянская кинопремия «Давид Донателло» за роль в,1
329,"так заключила, исходя из травм, медицинская экспертиза. ",протокол о направлении на медицинское освидетельствование. ,1
335,"пощёчин за плату Шаховским-шутом, подоплека событий была иной, чем просто"," ). По их мнению, причина явления заключается в том, что",1
337,чем это успеет сделать противоположно действующий агент. ," ). По их мнению, причина явления заключается в том, что",1
338,"скулы и как бы поправил локон, длинную прядку, свисавшую вдоль его","его грустные глаза, на седую прядь волос на лбу, на морщины",1
340, За январь-март с. г. внешнеторговый оборот,"подсчеты показывают, что в холодный зимний месяц даже такая относительно небольшая",1
341,с июня 2001 года по февраль прошлого года нас проверяли силами,"подсчеты показывают, что в холодный зимний месяц даже такая относительно небольшая",1
342,июля 1977 г.   Последние правки ― декабрь 1985 г.   ― Павел Зальцман. ,"подсчеты показывают, что в холодный зимний месяц даже такая относительно небольшая",1
350,"и глубокий тембр звучания.   Неслышимый рингтон Оказывается, уже в 20 лет","социальные сети, почтовые сервисы и мобильный контент в единую пользовательскую среду",1
351,"не услышан крик, зов, призыв, набат колокола, обращенный к нам, внукам","Ещё одно ""детское"" изобретение называется ""Сигнал тревоги в пелёнках"". ",1
352,"и дело прерывались объявлениями: ""Граждане!  Воздушная тревога!  "" Приходилось спускаться в бомбоубежище","Ещё одно ""детское"" изобретение называется ""Сигнал тревоги в пелёнках"". ",1
353,"сегодня все мои чувства ― появившаяся опасность, угроза? ","простыми распоряжениями соответствующих администраций.   3. Перспектива на будущее.   Мировой опыт, в",1
357,"давало идеологических осечек: срабатывали длительный производственный цикл, многоступенчатая система цензурных препятствий",и Б) и это создает циклический процесс. ,1
359, Весь курс обучения навыкам пилотирования составляет от,и Б) и это создает циклический процесс. ,1
361,который волна электромагнитного излучения совершала «рабочий цикл». ,и Б) и это создает циклический процесс. ,1
372," В результате ребёнок получил сотрясение мозга, ушибы различной степени тяжести",него оказалась сломанной ключица плюс черепно-мозговая травма. ,1
375," Как только появлялась монетарная экономика и товарный рынок, эта","лично не стал, т. к.   макроэкономика вещь в себе…   Что касается",1
379,"сулему, мышьяковистые препараты и даже боевое отравляющее вещество ― хлорпикрин! ","простые: синильная кислота, циан ― известный ядовитый газ. ",1
380,Именно на этом и основано консервирование пищевых продуктов способом тепловой стерилизации,"например, много времени трачу на приготовление пищи: завтрак, обед и ужин",1
382,через полчаса по приходе начинается варка пищи на кострах во дворе,"например, много времени трачу на приготовление пищи: завтрак, обед и ужин",1
389,"осенью наголо обритый в военкомате призывник сдавал дополнительные экзамены, дядюшка был","пальцев называется «кликкин», что значит мужчина, человек мужского пола. ",1
390,"семья - это я и мой сын, которому до добытчика еще далековато","пальцев называется «кликкин», что значит мужчина, человек мужского пола. ",1
391,"таком дурдоме и рос маленький мальчик, сын Санаевой. ","пальцев называется «кликкин», что значит мужчина, человек мужского пола. ",1
392," А юноша Алханон― без освобождающего ""демонического"" бреда","пальцев называется «кликкин», что значит мужчина, человек мужского пола. ",1
394, Крестный сын фюрера нацистской Германии Адольфа,"пальцев называется «кликкин», что значит мужчина, человек мужского пола. ",1
397,"остаётся основной причиной, по которой взрослый мужчина курит. ","пальцев называется «кликкин», что значит мужчина, человек мужского пола. ",1
398, Обескураженный Сургеев напомнил о химическом карандаше,"учёный― не великий человек, а растерянный, не имеющий ""общей идеи"" старик",1
399," Капитан, на мгновение озадаченный, что-то сообразил и расплылся: ","учёный― не великий человек, а растерянный, не имеющий ""общей идеи"" старик",1
401," "". И хрупкий дошкольник учит сразу три языка, занимается",отбраковал сразу: это подростки и малолетние дети. ,1
402," Будь то брошенный младенец в ""Малыше"", слепая красавица или",отбраковал сразу: это подростки и малолетние дети. ,1
403, Малыш-де станет сильнее и спокойнее,отбраковал сразу: это подростки и малолетние дети. ,1
407,не для каждой петли ― свою: «Шарнир и пружина крышки топливного бака,а при последующей сборке смазываю место соединения графитной смазкой. ,1
409,"тазовой кости и ударила в крестец, раздробив его на осколки… ",а при последующей сборке смазываю место соединения графитной смазкой. ,1
414,"с одинаковой прочностью, то есть сварной шов должен обладать такой же",а при последующей сборке смазываю место соединения графитной смазкой. ,1
415, Электрический контакт кабеля с анодом осуществляется,а при последующей сборке смазываю место соединения графитной смазкой. ,1
417,"есть тот подлинный, живой, притягивающий народный танец, в котором эмоциональная сторона"," Вот я запомнил какой-то танец, помню последовательность движений и сами",1
418,выделывали под хохот публики отчаянный канкан. ," Вот я запомнил какой-то танец, помню последовательность движений и сами",1
419, Бальный танец это не столько танец," Вот я запомнил какой-то танец, помню последовательность движений и сами",1
420,"в 80-е, когда студенты разучивали брейк-данс и валом валили на фильм"," Вот я запомнил какой-то танец, помню последовательность движений и сами",1
422," Шуба, одежда, сапоги, телефон навороченный, че","зимнее время русско-устьинцев спасала меховая одежда, материал и покрой которой",1
423,"выходе ― мясные консервы, костная мука, дублёнка. ","зимнее время русско-устьинцев спасала меховая одежда, материал и покрой которой",1
426,"почти нацело выедаются (семена растений, икра рыб и т.п. "," Все остальное ― древесина, рыбная продукция и немного нефтепродуктов, которые",1
427,"верила.  А также, разумеется, питание, рыбий жир.  Словом ""Волшебная гора"" Томаса"," Все остальное ― древесина, рыбная продукция и немного нефтепродуктов, которые",1
428,"Учитывая то обстоятельство, что выращенные морепродукты Классификатором не отнесены к продукции"," Все остальное ― древесина, рыбная продукция и немного нефтепродуктов, которые",1
430,"ладьи доставили положенное иждивение: хлебы, мясо, рыбы, вино, различное зелие, соль"," Все остальное ― древесина, рыбная продукция и немного нефтепродуктов, которые",1
