,child_context,parent_context,label
71,"и прикладную.   Физика ядра, генетика, микробиология ― фундаментальная наука.   Над ней соображения",беспрецедентные возможности для технологического прогресса (биотехнология и биоинженерия) и революционных прорывов,0
72," Термин ""религия"" сегодня используется очень широко во",отцу его во сне привидилась богородица и указала на девочку из,0
73,"потому, что втайне желали принять христианство. ",отцу его во сне привидилась богородица и указала на девочку из,0
74,"этот вопрос, поскольку вся моя семья - это я и мой сын",отцу его во сне привидилась богородица и указала на девочку из,0
75,"говорит о том, что российская экономика абсолютно неравномерна. "," Альманах.  М., Издательский дом ""Городская собственность"", 1999.   Материалы, опубликованные в",0
76,"на другой загнул два пальца, ― половая жизнь категорически запрещается… ",где у нее удалили один яичник по поводу кисты. ,0
77,"  ― Здесь, внизу, естественная история, зоология и сравнительная анатомия, ― обратил Алексей",где у нее удалили один яичник по поводу кисты. ,0
79," Термин ""религия"" сегодня используется очень широко во"," Он мне сразу: ""Я служитель культа ― поп"". ― ""А вы, говорю",0
80,плюс» больше денег получает самый неэффективный производитель. ," [ЭХО, nick]   Эффективный менеджмент никогда не шел по",0
82,"к восстановлению всей инфраструктуры, обеспечивающей судоходство по Северному морскому пути. ","количество угля, которым жил весь Северный флот, а также Мурманск и",0
83," [shilo83, nick]   Это искусство, коим большая часть девушек уже","качестве источника аналогового колебания использовался электромузыкальный инструмент терменвокс, генерирующий квазимонохроматические сигналы",0
84,"по их мнению, подняло бы музыкальное искусство на новую высоту. ","качестве источника аналогового колебания использовался электромузыкальный инструмент терменвокс, генерирующий квазимонохроматические сигналы",0
85,"судьбу с мирным процессом, и вооружённый конфликт с Израилем означал бы","владельцу богатейшего в Европе имения: оккупант, как и все прибалтийские бароны",0
93,"и не включала в себя химические науки, творчески ориентированные студенты полны","Именно здесь часто берёт начало коррозия, остановить которую потом не удаётся",0
94,интересно всё-же это российская медицина такая перестраховочная или в других, Тогда просим под капельницу ― капельница тоже равномерность обеспечивает… ,0
95,"которыми связано использование водных ресурсов, ― промышленность, сельское хозяйство и коммунальное хозяйство", Тогда просим под капельницу ― капельница тоже равномерность обеспечивает… ,0
96,"говорит о том, что российская экономика абсолютно неравномерна. ", Тогда просим под капельницу ― капельница тоже равномерность обеспечивает… ,0
101,"по их мнению, подняло бы музыкальное искусство на новую высоту. ","ровный гул, похожий на нескончаемое горловое пение на самой низкой ноте",0
104,"где главными принципами потребления являются мода, новинка, современный комфорт? "," Пришлось надеть тулуп навыворот, шапку, сделать бороду и",0
105,"и драгоценности, рестораны и дорогая одежда. "," Пришлось надеть тулуп навыворот, шапку, сделать бороду и",0
106, Но политическая деятельность была Андрею Тимофеевичу не,"середине марта комитет намерен провести парламентские слушания перед вторым чтением, которые",0
108,"говорит о том, что российская экономика абсолютно неравномерна. "," [vlaad2210, муж]   Оптовая торговля ― это не просто РАБОТА",0
109, Международная торговля и туризм изменили положение дел," [vlaad2210, муж]   Оптовая торговля ― это не просто РАБОТА",0
110,"являются естественными, что либерально-капиталистическая экономическая антропология сама собой воспроизведётся после отпадения","вайнахских башнях, значит, они вайнахские (вайнахи ― предки чеченцев и ингушей). ",0
111,"которыми связано использование водных ресурсов, ― промышленность, сельское хозяйство и коммунальное хозяйство","строительных материалов, вести дорожное и промышленное строительство. ",0
113,"Да, Галочка знала, какое это ювелирное искусство ― умело раскинуть сеть, а","И почему многие думают, что ювелирное изделие можно изготовить на раз",0
114,"и Зурабе Церетели), «Белый город» (живопись, искусство, православие) и издательство Tatmedia", В рамах! ― нахваливал он.  ― Масляная краска!  С орденами! ,0
115,глины/4000/4 N/85.20/Ветеринарная деятельность/7000/7   //Всего по,"эпидемий вирусных заболеваний, таких как ящур. ",0
116,"  ― Здесь, внизу, естественная история, зоология и сравнительная анатомия, ― обратил Алексей","эпидемий вирусных заболеваний, таких как ящур. ",0
117,"Но генетика ― это прежде всего физиологическая наука, и ее основная задача","эпидемий вирусных заболеваний, таких как ящур. ",0
118," В настоящее время продолжительность образования все увеличивается, и"," Стоит где-то затянуть по времени, сыграть неуверенно или",0
119,"о том, что такое воздушно-космическая оборона государства, какой облик она должна","соединений был учреждён нагрудный знак ""Гвардия"". ",0
120,"формированиях, где федеральным законом предусмотрена военная служба. ","соединений был учреждён нагрудный знак ""Гвардия"". ",0
122," [patrol, nick]   Ненависть к России воспитывают средства массовой информации. ","Следите за публикациями.  Пётр Чайников, собственный корреспондент.  Хм, ― усмехнулся Лиходеич, ― Порадовал",0
124,"социальная история науки и техники, филология, искусствоведение, информационное обеспечение гуманитарных исследований", Владимир Даль.  Толковый словарь живого великорусского языка.  В,0
125," [Gwen, nick]   Литература ― это далеко не только восхваление", Владимир Даль.  Толковый словарь живого великорусского языка.  В,0
126,"которыми связано использование водных ресурсов, ― промышленность, сельское хозяйство и коммунальное хозяйство","нуждающаяся в ремонте.   В общем, деревня есть деревня.   На 5000 рублей",0
127,"работа предприятий, малое предпринимательство, строительство, сельское хозяйство, уровень жизни и доходы","нуждающаяся в ремонте.   В общем, деревня есть деревня.   На 5000 рублей",0
128,"жертвой ― это чаще всего просто игра, развлечение, получение удовольствия. ","известного ленинградского новатора УСПМ, или детский конструктор для взрослых.  Возможно, некоторым",0
129, 3. Спирин А. С. Современная биология и биологическая безопасность // Вестник РАН,"в театрах Натальи Сац и ""Жаворонок"", был на ответственной работе в",0
130,"  ― Здесь, внизу, естественная история, зоология и сравнительная анатомия, ― обратил Алексей","в театрах Натальи Сац и ""Жаворонок"", был на ответственной работе в",0
131,"говорит о том, что российская экономика абсолютно неравномерна. ","работу уборщика (мойщика), существует жёсткая конкуренция со стороны, например, литовцев, эстонцев",0
132,"продукции, финансовая работа предприятий, малое предпринимательство, строительство, сельское хозяйство, уровень жизни","работу уборщика (мойщика), существует жёсткая конкуренция со стороны, например, литовцев, эстонцев",0
133,"которыми связано использование водных ресурсов, ― промышленность, сельское хозяйство и коммунальное хозяйство","будут производиться газовые турбины ― высокотехнологичное энергетическое оборудование, оправданно считающееся вершиной энергомашиностроительного",0
135, 3. Спирин А. С. Современная биология и биологическая безопасность // Вестник РАН,бы этого рецензента на неистового Валериана.) ,0
136, БОТАНИКА Д. В. СЕМЕНОВ Сенсационный кактус,бы этого рецензента на неистового Валериана.) ,0
137,"которыми связано использование водных ресурсов, ― промышленность, сельское хозяйство и коммунальное хозяйство","который по конвейеру поступает в доменный цех, где в трех печах",0
141,"их колониального правления, это их правовая система, основанная на общем праве", Военнослужащий отпускник ранен у кафе 16 декабря,0
142,Кризис 1997 года сильно изменил трудовые отношения. , Военнослужащий отпускник ранен у кафе 16 декабря,0
143,"условиях Клиники лечебного питания, и кулинарное искусство, пронесшее через века свои","Они главным образом помогают очистить печень ― орган, согласно концепции китайской традиционной",0
144,"  ― Здесь, внизу, естественная история, зоология и сравнительная анатомия, ― обратил Алексей","Они главным образом помогают очистить печень ― орган, согласно концепции китайской традиционной",0
145,"Но генетика ― это прежде всего физиологическая наука, и ее основная задача","Они главным образом помогают очистить печень ― орган, согласно концепции китайской традиционной",0
148,интересно всё-же это российская медицина такая перестраховочная или в других,"жизнь женщины была спасена, такое медицинское заключение привело бы на скамью",0
150,"и т. д., и как наука претендует на полное объяснение причин"," Тотчас, конечно, ординатор завёл историю болезни, по-тогдашнему скорбный",0
151,интересно всё-же это российская медицина такая перестраховочная или в других," Тотчас, конечно, ординатор завёл историю болезни, по-тогдашнему скорбный",0
152,"которыми связано использование водных ресурсов, ― промышленность, сельское хозяйство и коммунальное хозяйство", Небольшая компания DotHill в мае 2002 года,0
153,"говорит о том, что российская экономика абсолютно неравномерна. ", Небольшая компания DotHill в мае 2002 года,0
155,промышленных регионах и городах являются:   автомобильный транспорт;   крупные промышленные предприятия (в,"четыре, я споткнулась только о бордюр дороги ― чтобы повалиться вместе с",0
156,"самокатах и велосипедах, а изображать дорожное движение. ","четыре, я споткнулась только о бордюр дороги ― чтобы повалиться вместе с",0
158,"условиях Клиники лечебного питания, и кулинарное искусство, пронесшее через века свои","Служебном Романсе» есть и своя «ложка дёгтя в бочке меда», а",0
159,"где главными принципами потребления являются мода, новинка, современный комфорт? ",днюют и ночуют у самых ворот; одежды на них почти никакой,0
160,"и драгоценности, рестораны и дорогая одежда. ",днюют и ночуют у самых ворот; одежды на них почти никакой,0
161, Судопроизводство и делопроизводство в Конституционном Суде Российской Федерации,святая воля.   Мне требуется хорошая ручка для письма.  Скоро именинница К[атя],0
165,интересно всё-же это российская медицина такая перестраховочная или в других," Среди них Российское общество Красного Креста, Попечительское о тюрьмах",0
166,интересно всё-же это российская медицина такая перестраховочная или в других, Современная эндоскопическая аппаратура позволяет проводить удаление инородных,0
167,"которыми связано использование водных ресурсов, ― промышленность, сельское хозяйство и коммунальное хозяйство", Современная эндоскопическая аппаратура позволяет проводить удаление инородных,0
168,"говорит о том, что российская экономика абсолютно неравномерна. ", Современная эндоскопическая аппаратура позволяет проводить удаление инородных,0
170,"говорит о том, что российская экономика абсолютно неравномерна. ",вопросы войны и мира;   л) внешнеэкономические отношения Российской Федерации;   м) оборона,0
171, Какие там дипломатические отношения ― это же было начало,вопросы войны и мира;   л) внешнеэкономические отношения Российской Федерации;   м) оборона,0
172, 3. Спирин А. С. Современная биология и биологическая безопасность // Вестник РАН,конце июля или начале августа (пшеница). ,0
173, БОТАНИКА Д. В. СЕМЕНОВ Сенсационный кактус,конце июля или начале августа (пшеница). ,0
179,"о том, что такое воздушно-космическая оборона государства, какой облик она должна",хочешь обижу.   ― Ну ты точно морская пехота!  ― засмеялся Петр. ,0
180,"формированиях, где федеральным законом предусмотрена военная служба. ",хочешь обижу.   ― Ну ты точно морская пехота!  ― засмеялся Петр. ,0
182,"говорит о том, что российская экономика абсолютно неравномерна. ","тип ― это инфракрасный жидкотопливный нагреватель, тепловая пушка, которая не выдувает, а",0
183,"производство, строительство, инвестиции, сельское хозяйство, коммунальное хозяйство, малое предпринимательство, финансы, рынок","тип ― это инфракрасный жидкотопливный нагреватель, тепловая пушка, которая не выдувает, а",0
189,"являются естественными, что либерально-капиталистическая экономическая антропология сама собой воспроизведётся после отпадения"," Азербайджанцы (а ещё таты, кумыки и курды) и вправду каспийцы",0
190,"их колониального правления, это их правовая система, основанная на общем праве","есть вопросы, конечно, но именно сторона защиты провалила возможность провести экспертизу",0
191,года ― гражданское право и гражданское судоустройство и судопроизводство; по Уставу 23,"есть вопросы, конечно, но именно сторона защиты провалила возможность провести экспертизу",0
195,Растить в душе побег уныния ― преступление.   (c) ,"Вот отчего это так, почему Гулаг поставляет такой негодный материал? ",0
196,"потратили бюджетные деньги по статье ""Правоохранительная деятельность"" органы власти Ленинградской и","Вот отчего это так, почему Гулаг поставляет такой негодный материал? ",0
197,"от поставок оружия ополченцам, ввести уголовное наказание для российских волонтеров, сражающихся","Вот отчего это так, почему Гулаг поставляет такой негодный материал? ",0
198, Зато всем доступны греческая астрономия и врачебное искусство греков! ,"это была не звезда, а планета Нептун. ",0
201,"завершённые проекты, такие как ГАС ""Выборы"" или ЕГЭ, позволяют корпорации надеяться",Новинского.  Он будет баллотироваться как самовыдвиженец.  Вадим Новинский родился 3 июня,0
207,"их колониального правления, это их правовая система, основанная на общем праве","Лаишевский, Тетюшский) каждый четвёртый присяжный заседатель был мусульманином, а в целом",0
209,"завершённые проекты, такие как ГАС ""Выборы"" или ЕГЭ, позволяют корпорации надеяться","Лаишевский, Тетюшский) каждый четвёртый присяжный заседатель был мусульманином, а в целом",0
210,года ― гражданское право и гражданское судоустройство и судопроизводство; по Уставу 23,"Лаишевский, Тетюшский) каждый четвёртый присяжный заседатель был мусульманином, а в целом",0
213," Я конечно тоже спорт люблю, но не в таких","я слышу, например, такую фразу: ""Хоккеист Такойтов забил гол и сделал",0
214,"в горы с рафтингом, каноэ, хоккей на льду, фигурное катание, керлинг","я слышу, например, такую фразу: ""Хоккеист Такойтов забил гол и сделал",0
215, Спортивная игра «Орленок» после 15-летнего,"я слышу, например, такую фразу: ""Хоккеист Такойтов забил гол и сделал",0
223,"являются естественными, что либерально-капиталистическая экономическая антропология сама собой воспроизведётся после отпадения","Мурзилку посмотреть порой )  [Артем Смирнов, муж]   Вот почему чукчи не приезжают?  [Владислав Витальевич, муж]   Побочные эффекты путинско",0
226, 3. Спирин А. С. Современная биология и биологическая безопасность // Вестник РАН, С 1934 года Центральная станция юных натуралистов в Москве стала,0
227, Сфера образования для него всегда была, С 1934 года Центральная станция юных натуралистов в Москве стала,0
228,интересно всё-же это российская медицина такая перестраховочная или в других,"как чума, лейшманиоз, амебиаз, тропический гельминтоз, лихорадки Эбола, Ласса и Марбурга",0
229,"Но генетика ― это прежде всего физиологическая наука, и ее основная задача","как чума, лейшманиоз, амебиаз, тропический гельминтоз, лихорадки Эбола, Ласса и Марбурга",0
230,интересно всё-же это российская медицина такая перестраховочная или в других,"постоянно контролировать артериальное давление, пройти электрокардиографическое исследование, сдать общие анализы крови",0
